BuildingType,PropertyGFABuilding(s),YearBuilt,Longitude,NumberofBuildings,Neighborhood,NumberofFloors,PrimaryPropertyType,ComplianceStatus,SiteEnergyUse(kBtu),PropertyGFATotal,TotalGHGEmissions,Latitude,PropertyGFAParking,ListOfAllPropertyUseTypes,CouncilDistrictCode,OSEBuildingID,Age,Central,Delridge,Downtown,East,Greater duwamish,Lake union,Magnolia / queen anne,North,Northeast,Northwest,Southeast,Southwest,Hospital,Hotel,K-12 School,Laboratory,Large Office,Low-Rise Multifamily,Medical Office,Mixed Use Property,Other,Refrigerated Warehouse,Residence Hall,Restaurant,Retail Store,Self-Storage Facility,Senior Care Community,Small- and Mid-Sized Office,Supermarket / Grocery Store,University,Warehouse,Worship Facility,NonResidential,Nonresidential COS,SPS-District K-12,CSC 2,CSC 3,CSC 4,CSC 5,CSC 6,CSC 7
NonResidential,2.0421537173340707,1926,-122.33663999999999,0.9090909090909091,Downtown,1.2515773256936356,Hotel,1,10.802506200618494,1.8213758113192091,5.899484497058914,47.61412,0.0,Hotel,CSC 7,5,20.529668595478103,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
NonResidential,2.041726753451936,2001,-122.33923999999999,0.9090909090909091,Lake union,0.9316864056685098,Large Office,1,11.027625980411488,1.8224651794215496,6.192637428898195,47.64776,2.391531115731154,Office,CSC 4,457,6.647444600690303,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
NonResidential,2.0443522519355763,1978,-122.37058999999999,0.9090909090909091,Magnolia / queen anne,0.5639717536764728,Large Office,1,11.31350102543469,1.8224891403418593,6.141843254515136,47.65692,0.0,Office,CSC 7,696,12.101308980579928,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
NonResidential,2.0445165668485306,2000,-122.36476,0.9090909090909091,Magnolia / queen anne,1.0203072757974183,Large Office,1,11.37353362191069,1.8231999830759957,5.382003894640827,47.623020000000004,2.3931536724158966,"Data Center, Office, Parking",CSC 7,703,6.9385729444419,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
NonResidential,2.042450274726332,1960,-122.31231000000001,0.9090909090909091,Northeast,0.9316864056685098,Large Office,1,11.22430646135752,1.822629532845184,5.035418106763715,47.661809999999996,2.3917374453037357,Office,CSC 4,1281,15.388276185072913,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
NonResidential,2.037173797520044,1956,-122.29898,0.9090909090909091,Northeast,0.7978618320884237,Retail Store,1,10.645978729391434,1.8187419736124684,5.229366804292169,47.662459999999996,0.0,"Other, Retail Store",CSC 4,19847,16.052864663139307,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
NonResidential,2.0396130567207287,1926,-122.33131999999999,0.9090909090909091,Lake union,0.5639717536764728,Small- and Mid-Sized Office,1,10.843097879447319,1.8200490592135037,4.43567338435171,47.627990000000004,0.0,"Office, Parking",CSC 3,21413,20.529668595478103,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
NonResidential,2.0392315797234475,1928,-122.33758999999999,0.9090909090909091,Lake union,0.9316864056685098,Small- and Mid-Sized Office,1,10.936426962739018,1.8203347113937414,5.680238194371433,47.62038,2.353597458192849,"Laboratory, Office, Parking",CSC 7,21443,20.25377347033129,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
NonResidential,2.0403795162402476,1953,-122.34668,0.9090909090909091,Lake union,0.7978618320884237,Small- and Mid-Sized Office,1,10.841062812425644,1.8204533369108087,4.680720777161516,47.62038,0.0,"Data Center, Office",CSC 7,21716,16.538790498396306,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
NonResidential,2.036724108631972,1953,-122.32497,0.9090909090909091,Greater duwamish,0.5639717536764728,Small- and Mid-Sized Office,1,9.692410883005536,1.8184978710450845,3.0421178857086653,47.55498,0.0,Office,CSC 2,23951,16.538790498396306,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
