PrimaryPropertyType,Latitude,NumberofFloors,ComplianceStatus,BuildingType,CouncilDistrictCode,OSEBuildingID,Neighborhood,PropertyGFAParking,TotalGHGEmissions,PropertyGFATotal,PropertyGFABuilding(s),SiteEnergyUse(kBtu),NumberofBuildings,Longitude,RecentUpgrade,Central,Delridge,Downtown,East,Greater duwamish,Lake union,Magnolia / queen anne,North,Northeast,Northwest,Southeast,Southwest,High-Rise Multifamily,Hospital,Hotel,K-12 School,Laboratory,Low-Rise Multifamily,Medical Office,Mid-Rise Multifamily,Mixed Use Property,Office,Other,Refrigerated Warehouse,Residence Hall,Restaurant,Retail Store,Self-Storage Facility,Senior Care Community,Supermarket / Grocery Store,University,Warehouse,Worship Facility,Multifamily HR (10+),Multifamily LR (1-4),Multifamily MR (5-9),NonResidential,Nonresidential COS,Nonresidential WA,SPS-District K-12,CSC 2,CSC 3,CSC 4,CSC 5,CSC 6,CSC 7,Age
Medical Office,47.61142131,1.1152529779653029,1,NonResidential,CSC 3,838,East,1.6143869996140856,5.448416994792074,1.6834273936556094,1.8199290071214531,15.712899056797058,0.5623822165765427,-122.3213375,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,88
Office,47.61832601,0.9233437133343848,1,NonResidential,CSC 7,19658,Downtown,0.0,2.6326080059353516,1.6816259630984658,1.8174408060947618,13.64263583895549,0.5623822165765427,-122.33341322,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,79
Other,47.72969445,0.6203866890374208,1,NonResidential,CSC 5,19780,Northwest,0.0,5.4515533424468945,1.6809393490367952,1.816357487876526,15.655005667292677,0.5623822165765427,-122.34543246,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,48
Low-Rise Multifamily,47.61753573,1.1152529779653029,1,Multifamily LR (1-4),CSC 7,19882,Downtown,0.0,3.958524839079566,1.6825371438953955,1.8189020757504482,14.290051378572423,0.5623822165765427,-122.34855005,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,108
Low-Rise Multifamily,47.61829758,1.2521923674291737,1,Multifamily LR (1-4),CSC 7,19905,Downtown,0.0,3.2767673032839784,1.6808713876250103,1.8162509732561993,13.700156943872093,0.5623822165765427,-122.35437012,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,106
Low-Rise Multifamily,47.70176512,1.2521923674291737,1,Multifamily LR (1-4),CSC 6,19947,Northwest,1.6160396010514668,2.932792473780117,1.6838701948094528,1.820542817745592,14.699486340911646,0.5623822165765427,-122.36241432,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,17
K-12 School,47.63189062,0.6203866890374208,1,SPS-District K-12,CSC 7,19967,Magnolia / queen anne,0.0,1.7526720805200082,1.6821059282132211,1.8182067709547156,12.668491331686054,0.5623822165765427,-122.35355257,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,15
Low-Rise Multifamily,47.65389411,1.1152529779653029,1,Multifamily LR (1-4),CSC 6,20152,Lake union,0.0,1.890095369948917,1.6816041736163512,1.8174062129601194,13.600219842267576,0.5623822165765427,-122.3548584,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,47
Retail Store,47.56540757,0.6203866890374208,1,NonResidential,CSC 2,20617,Greater duwamish,0.0,3.4330189939851112,1.6823142713407444,1.8185418016667958,13.67235932843887,0.5623822165765427,-122.340694,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,63
Mid-Rise Multifamily,47.64360097,1.3569138984326496,1,Multifamily MR (5-9),CSC 7,20658,Magnolia / queen anne,0.0,2.4706386779902956,1.6830555210172873,1.8197484797860688,14.255881957272718,0.5623822165765427,-122.34650390000002,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,41
Retail Store,47.72569066,0.6203866890374208,1,NonResidential,CSC 5,21237,Northwest,0.0,3.5865698352893665,1.6811768491186247,1.816730687658548,14.146362745941122,0.5623822165765427,-122.34326609999998,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,15
