PrimaryPropertyType,Latitude,NumberofFloors,ComplianceStatus,BuildingType,CouncilDistrictCode,OSEBuildingID,Neighborhood,PropertyGFAParking,TotalGHGEmissions,PropertyGFATotal,PropertyGFABuilding(s),SiteEnergyUse(kBtu),NumberofBuildings,Longitude,RecentUpgrade,Central,Delridge,Downtown,East,Greater duwamish,Lake union,Magnolia / queen anne,North,Northeast,Northwest,Southeast,Southwest,High-Rise Multifamily,Hospital,Hotel,K-12 School,Laboratory,Low-Rise Multifamily,Medical Office,Mid-Rise Multifamily,Mixed Use Property,Office,Other,Refrigerated Warehouse,Residence Hall,Restaurant,Retail Store,Self-Storage Facility,Senior Care Community,Supermarket / Grocery Store,University,Warehouse,Worship Facility,Multifamily HR (10+),Multifamily LR (1-4),Multifamily MR (5-9),NonResidential,Nonresidential COS,Nonresidential WA,SPS-District K-12,CSC 2,CSC 3,CSC 4,CSC 5,CSC 6,CSC 7,Age
Office,47.64805,2.0,1,NonResidential,CSC 7,21172,Magnolia / queen anne,0,5.41,23600,23600,776248.6875,1.0,-122.35533999999998,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,35
Mixed Use Property,47.64848,4.0,1,Multifamily LR (1-4),CSC 7,21175,Magnolia / queen anne,0,44.71,42705,42705,1739693.25,1.0,-122.35588999999999,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,25
Office,47.64976,3.0,1,NonResidential,CSC 7,21177,Magnolia / queen anne,0,16.06,40067,40067,2303732.75,1.0,-122.35683999999999,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,30
Office,47.64976,3.0,1,NonResidential,CSC 7,21178,Magnolia / queen anne,6922,7.49,26419,19497,1074989.0,1.0,-122.35683999999999,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,27
Office,47.64976,3.0,1,NonResidential,CSC 7,21179,Magnolia / queen anne,0,23.85,25262,25262,1469556.25,1.0,-122.35683999999999,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,37
Other,47.64975,3.0,1,NonResidential,CSC 6,21180,Lake union,0,38.12,53103,53103,4877959.0,0.0,-122.35288999999999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,20
Office,47.64901,3.0,1,NonResidential,CSC 7,21181,Magnolia / queen anne,0,11.29,34106,34106,1619177.125,1.0,-122.35516000000001,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,36
Office,47.64934,3.0,1,NonResidential,CSC 7,21182,Magnolia / queen anne,0,16.13,34545,34545,2313978.75,1.0,-122.35592,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,36
Office,47.64865,3.0,1,NonResidential,CSC 7,21183,Magnolia / queen anne,0,19.39,70296,70296,2782066.5,1.0,-122.35435,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,36
Office,47.599790000000006,4.0,1,NonResidential,CSC 7,25660,Downtown,0,8.49,27838,27838,1217509.125,1.0,-122.33339,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,114
