PrimaryPropertyType,Latitude,NumberofFloors,ComplianceStatus,BuildingType,CouncilDistrictCode,OSEBuildingID,Neighborhood,PropertyGFAParking,TotalGHGEmissions,PropertyGFATotal,PropertyGFABuilding(s),SiteEnergyUse(kBtu),NumberofBuildings,Longitude,RecentUpgrade,Central,Delridge,Downtown,East,Greater duwamish,Lake union,Magnolia / queen anne,North,Northeast,Northwest,Southeast,Southwest,High-Rise Multifamily,Hospital,Hotel,K-12 School,Laboratory,Low-Rise Multifamily,Medical Office,Mid-Rise Multifamily,Mixed Use Property,Office,Other,Refrigerated Warehouse,Residence Hall,Restaurant,Retail Store,Self-Storage Facility,Senior Care Community,Supermarket / Grocery Store,University,Warehouse,Worship Facility,Multifamily HR (10+),Multifamily LR (1-4),Multifamily MR (5-9),NonResidential,Nonresidential COS,Nonresidential WA,SPS-District K-12,CSC 2,CSC 3,CSC 4,CSC 5,CSC 6,CSC 7,Age
Low-Rise Multifamily,47.60973588,4.0,1,Multifamily LR (1-4),CSC 7,61,Downtown,0,112.06,48383,48383,2953338.0,1.0,-122.34038419999999,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,116
Low-Rise Multifamily,47.54423839,4.0,1,Multifamily LR (1-4),CSC 1,266,Delridge,0,8.45,52134,52134,1212551.0,1.0,-122.376171,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9
Retail Store,47.61171108,4.0,1,NonResidential,CSC 7,325,Downtown,0,69.01,111077,111077,9898724.0,1.0,-122.33681575,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,27
Office,47.60679898,6.0,1,NonResidential,CSC 7,400,Downtown,25920,47.24,98370,72450,6525887.0,1.0,-122.33710009999999,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,110
Office,47.6214758,4.0,1,NonResidential,CSC 7,442,Lake union,37854,116.84,193788,155934,16760217.0,1.0,-122.34305020000001,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,69
Office,47.57089656,3.0,1,NonResidential,CSC 2,499,Greater duwamish,21410,134.69,76598,55188,4476997.0,1.0,-122.2974118,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,8
Office,47.6212428,4.0,1,NonResidential,CSC 7,559,Lake union,0,226.92,186971,186971,12662456.0,1.0,-122.3297865,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,35
Warehouse,47.62145274,1.0,1,NonResidential,CSC 7,560,Lake union,0,11.09,66968,66968,1575581.0,1.0,-122.33112849999999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,61
Medical Office,47.60395194,15.0,1,NonResidential,CSC 3,675,East,250000,1891.47,434475,184475,55030192.0,1.0,-122.3240621,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,8
Office,47.60373017,5.0,1,NonResidential,CSC 7,714,Downtown,32160,260.94,192960,160800,6669954.0,1.0,-122.33736709999998,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,105
Other,47.57289218,1.0,1,NonResidential,CSC 2,790,Greater duwamish,0,39.08,54171,54171,1008645.0,1.0,-122.33503629999998,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,47
Medical Office,47.61142131,3.0,1,NonResidential,CSC 3,838,East,15479,231.39,83448,67969,6668456.0,1.0,-122.3213375,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,88
Office,47.61832601,2.0,1,NonResidential,CSC 7,19658,Downtown,0,12.91,28568,28568,841242.0,1.0,-122.33341322,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,79
Other,47.72969445,1.0,1,NonResidential,CSC 5,19780,Northwest,0,232.12,21633,21633,6293359.0,1.0,-122.34543246,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,48
Low-Rise Multifamily,47.61753573,3.0,1,Multifamily LR (1-4),CSC 7,19882,Downtown,0,51.38,45172,45172,1607275.0,1.0,-122.34855005,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,108
Low-Rise Multifamily,47.61829758,4.0,1,Multifamily LR (1-4),CSC 7,19905,Downtown,0,25.49,21095,21095,891050.0,1.0,-122.35437012,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,106
Low-Rise Multifamily,47.70176512,4.0,1,Multifamily LR (1-4),CSC 6,19947,Northwest,35001,17.78,126436,91435,2420503.0,1.0,-122.36241432,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,17
K-12 School,47.63189062,1.0,1,SPS-District K-12,CSC 7,19967,Magnolia / queen anne,0,4.77,35805,35805,317581.0,1.0,-122.35355257,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,15
Low-Rise Multifamily,47.65389411,3.0,1,Multifamily LR (1-4),CSC 6,20152,Lake union,0,5.62,28296,28296,806306.0,1.0,-122.3548584,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,47
Retail Store,47.56540757,1.0,1,NonResidential,CSC 2,20617,Greater duwamish,0,29.97,39900,39900,866622.0,1.0,-122.340694,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,63
Mid-Rise Multifamily,47.64360097,5.0,1,Multifamily MR (5-9),CSC 7,20658,Magnolia / queen anne,0,10.83,62820,62820,1553283.0,1.0,-122.34650390000002,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,41
Retail Store,47.72569066,1.0,1,NonResidential,CSC 5,21237,Northwest,0,35.11,23696,23696,1392153.0,1.0,-122.34326609999998,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,15
Other,47.60940552,7.0,1,NonResidential,CSC 7,21471,Downtown,0,4.43,44928,44928,413919.0,1.0,-122.33934021,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,112
Other,47.60705128,3.0,1,NonResidential,CSC 7,21474,Downtown,0,0.17,49760,49760,24126.0,1.0,-122.33903590000001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,116
Low-Rise Multifamily,47.63869344,4.0,1,Multifamily LR (1-4),CSC 7,21555,Magnolia / queen anne,2390,4.42,22984,20594,633408.0,1.0,-122.3442697,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,31
Warehouse,47.54941353,1.0,1,NonResidential,CSC 2,21688,Southeast,0,36.72,27435,27435,1231546.0,1.0,-122.2866398,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,64
K-12 School,47.64171214,1.0,1,NonResidential,CSC 3,21796,East,0,64.95,83882,83882,2539565.0,1.0,-122.31738590000002,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,111
Worship Facility,47.54179702,2.0,1,NonResidential,CSC 2,22138,Southeast,0,0.64,22029,22029,91996.0,1.0,-122.27030459999999,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,89
Low-Rise Multifamily,47.67578585,4.0,1,Multifamily LR (1-4),CSC 6,22172,Ballard,7725,3.36,26672,18947,481492.0,1.0,-122.38805819999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,37
Office,47.66247704,2.0,1,NonResidential,CSC 6,22441,Ballard,0,45.9,37448,37448,2547582.0,1.0,-122.36956059999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,37
Low-Rise Multifamily,47.70579684,3.0,1,Multifamily LR (1-4),CSC 5,22808,North,2923,7.06,39187,36264,1012559.0,1.0,-122.3010673,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,33
Worship Facility,47.5170917,1.0,1,NonResidential,CSC 1,22830,Southwest,0,1.97,23772,23772,282898.0,1.0,-122.3779648,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,45
Medical Office,47.59703102,4.0,1,NonResidential,CSC 3,23163,Downtown,23086,12.54,43813,20727,1798899.0,1.0,-122.3168033,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,21
Mid-Rise Multifamily,47.63465825,5.0,1,Multifamily MR (5-9),CSC 7,23174,Magnolia / queen anne,0,10.18,30569,30569,783413.0,1.0,-122.34681640000001,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,47
Low-Rise Multifamily,47.60570876,3.0,1,Multifamily LR (1-4),CSC 3,23308,East,0,3.72,20998,20998,533465.0,1.0,-122.32289320000001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,57
Restaurant,47.61522339,2.0,1,NonResidential,CSC 7,23848,Downtown,0,119.01,40320,40320,3816695.0,1.0,-122.35415400000001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,114
Low-Rise Multifamily,47.69374427,3.0,1,Multifamily LR (1-4),CSC 5,24068,North,3254,11.82,65694,62440,1695593.0,1.0,-122.3060084,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,22
Low-Rise Multifamily,47.70384555,4.0,1,Multifamily LR (1-4),CSC 6,24168,Northwest,14439,7.65,47038,32599,1097572.0,1.0,-122.3567108,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,26
K-12 School,47.69548916,1.0,1,SPS-District K-12,CSC 5,24408,Northwest,0,,110830,110830,,1.0,-122.34018780000001,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,63
K-12 School,47.60870162,2.0,1,NonResidential,CSC 3,24547,Central,0,0.35,24152,24152,56493.0,1.0,-122.29982290000001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,87
Other,47.58787647,3.0,1,NonResidential,CSC 2,24717,Greater duwamish,0,0.12,27690,27690,17150.0,1.0,-122.3345773,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,106
Low-Rise Multifamily,47.61945359,4.0,1,Multifamily LR (1-4),CSC 3,24739,East,9318,119.32,45192,35874,2614968.0,1.0,-122.3105108,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,89
Warehouse,47.58293152,2.0,1,NonResidential,CSC 2,24825,Greater duwamish,0,7.28,20970,20970,304982.0,1.0,-122.33468500000001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,106
Mixed Use Property,47.63452966,2.0,1,NonResidential,CSC 7,24904,Magnolia / queen anne,0,16.59,23000,23000,595839.0,1.0,-122.37575690000001,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,88
Other,47.58809497,2.0,1,NonResidential,CSC 2,25042,Greater duwamish,0,22.78,33332,33332,662012.0,1.0,-122.310103,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,50
Other,47.62617011,1.0,1,NonResidential,CSC 7,25455,Magnolia / queen anne,0,137.23,23050,23050,4291789.0,1.0,-122.3401021,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,94
Mid-Rise Multifamily,47.73219752,6.0,1,Multifamily MR (5-9),CSC 5,25617,North,0,6.61,32400,32400,948157.0,1.0,-122.293457,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,30
Retail Store,47.59894541,2.0,1,NonResidential,CSC 2,25654,Downtown,0,1.28,21600,21600,184077.0,1.0,-122.33326720000001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,116
Low-Rise Multifamily,47.61432913,3.0,1,NonResidential,CSC 3,25674,East,0,4.68,32100,32100,93851.0,1.0,-122.3197623,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,106
Low-Rise Multifamily,47.65682293,4.0,1,Multifamily LR (1-4),CSC 4,25701,Northeast,6915,4.44,30347,23432,636427.0,1.0,-122.3205154,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,29
Low-Rise Multifamily,47.5986876,4.0,1,Multifamily LR (1-4),CSC 2,25821,Downtown,0,47.25,29816,29816,1359579.0,1.0,-122.32338,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,96
Low-Rise Multifamily,47.60184462,3.0,1,Multifamily LR (1-4),CSC 3,26938,Central,0,8.84,41144,41144,1445738.0,1.0,-122.30569209999999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,107
Worship Facility,47.661542299999994,2.0,1,NonResidential,CSC 4,27007,Northeast,0,0.85,20039,20039,122156.0,1.0,-122.2787693,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,62
Low-Rise Multifamily,47.70649985,3.0,1,Multifamily LR (1-4),CSC 5,27355,Northwest,0,17.63,96096,96096,2529024.0,1.0,-122.33477909999999,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,37
Other,47.62526703,2.0,1,NonResidential,CSC 7,27639,Magnolia / queen anne,0,95.2,23098,23098,3058638.0,1.0,-122.35187531,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,8
Low-Rise Multifamily,47.65344425,4.0,1,Multifamily LR (1-4),CSC 7,27699,Magnolia / queen anne,5543,7.16,45057,39514,1026921.0,1.0,-122.387892,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,36
Low-Rise Multifamily,47.72028152,4.0,1,Multifamily LR (1-4),CSC 5,27706,North,0,4.65,24800,24800,666967.0,1.0,-122.3186102,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,49
Office,47.613921999999995,2.0,1,NonResidential,CSC 3,27829,East,0,5.58,21228,21228,799996.0,1.0,-122.31642099999999,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,96
Low-Rise Multifamily,47.69838396,3.0,1,Multifamily LR (1-4),CSC 5,27985,Northwest,8685,4.88,34023,25338,699376.0,1.0,-122.3411261,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,29
Mid-Rise Multifamily,47.7317276,6.0,1,Multifamily MR (5-9),CSC 5,28045,Northwest,137061,118.2,375502,238441,8890235.0,1.0,-122.34696198,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6
Low-Rise Multifamily,47.52141906,4.0,1,Multifamily LR (1-4),CSC 1,28064,Delridge,0,8.72,40940,40940,1250592.0,1.0,-122.3625253,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,48
Mid-Rise Multifamily,47.659053802490206,5.0,1,Multifamily MR (5-9),CSC 6,49769,Lake union,0,51.55,43998,43998,1007650.0,1.0,-122.349327087402,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,96
Other,47.62811223,4.0,1,Campus,CSC 7,49859,Magnolia / queen anne,376000,4829.86,808520,432520,157606480.0,7.0,-122.37426470000001,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14
Hotel,47.6122,12.0,1,NonResidential,CSC 7,1,Downtown,0,249.98,88434,88434,7226362.5,1.0,-122.33798999999999,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,89
Hotel,47.613170000000004,11.0,1,NonResidential,CSC 7,2,Downtown,15064,295.86,103566,88502,8387933.0,1.0,-122.33393000000001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,20
Hotel,47.613929999999996,41.0,1,NonResidential,CSC 7,3,Downtown,196718,2089.28,956110,759392,72587024.0,1.0,-122.3381,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,47
Hotel,47.61412,10.0,1,NonResidential,CSC 7,5,Downtown,0,286.43,61320,61320,6794584.0,1.0,-122.33663999999999,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,90
Hotel,47.61375,18.0,1,NonResidential,CSC 7,8,Downtown,62000,505.01,175580,113580,14172606.0,1.0,-122.34047,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,36
Other,47.61623,2.0,1,Nonresidential COS,CSC 7,9,Downtown,37198,301.81,97288,60090,12086616.0,1.0,-122.33657,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,17
Hotel,47.6139,11.0,1,NonResidential,CSC 7,10,Downtown,0,176.14,83008,83008,5758795.0,1.0,-122.33283,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,90
Other,47.61327,8.0,1,NonResidential,CSC 7,11,Downtown,0,221.51,102761,102761,6298131.5,1.0,-122.33136,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,90
Hotel,47.602940000000004,15.0,1,NonResidential,CSC 7,12,Downtown,0,392.16,163984,163984,13723820.0,1.0,-122.33263000000001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,112
Mid-Rise Multifamily,47.60284,6.0,1,Multifamily MR (5-9),CSC 7,13,Downtown,1496,151.12,63712,62216,4573777.0,1.0,-122.33183999999999,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,106
Hotel,47.60695,11.0,1,NonResidential,CSC 7,15,Downtown,19279,691.26,153163,133884,16016644.0,1.0,-122.33413999999999,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,47
Hotel,47.60713,25.0,1,NonResidential,CSC 7,16,Downtown,61161,740.97,333176,272015,26941110.0,1.0,-122.33323,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,18
Hotel,47.60699,9.0,1,NonResidential,CSC 7,17,Downtown,0,328.23,65009,65009,6596057.5,1.0,-122.33346,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,88
Hotel,47.608090000000004,33.0,1,NonResidential,CSC 7,18,Downtown,57600,648.62,315952,258352,22325364.0,1.0,-122.33211999999999,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,36
Hotel,47.60755,11.0,1,NonResidential,CSC 7,19,Downtown,25200,511.39,92190,66990,10750010.0,1.0,-122.33243999999999,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,94
Other,47.60649,11.0,1,Nonresidential COS,CSC 7,21,Downtown,57000,181.38,412000,355000,18588860.0,1.0,-122.33296999999999,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,12
Other,47.60546,6.0,1,NonResidential,CSC 7,22,Downtown,0,433.86,103911,103911,9956396.0,1.0,-122.33278999999999,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,86
