Longitude,Neighborhood,BuildingType,TotalGHGEmissions,ComplianceStatus,PropertyGFAParking,CouncilDistrictCode,PropertyGFABuilding(s),OSEBuildingID,SiteEnergyUse(kBtu),PropertyGFATotal,NumberofBuildings,Latitude,NumberofFloors,PrimaryPropertyType,RecentUpgrade,Age,Central,Delridge,Downtown,East,Greater duwamish,Lake union,Magnolia / queen anne,North,Northeast,Northwest,Southeast,Southwest,High-Rise Multifamily,Hospital,Hotel,K-12 School,Laboratory,Low-Rise Multifamily,Medical Office,Mid-Rise Multifamily,Mixed Use Property,Office,Other,Refrigerated Warehouse,Residence Hall,Restaurant,Retail Store,Self-Storage Facility,Senior Care Community,Supermarket / Grocery Store,University,Warehouse,Worship Facility,Multifamily HR (10+),Multifamily LR (1-4),Multifamily MR (5-9),NonResidential,Nonresidential COS,Nonresidential WA,SPS-District K-12,CSC 2,CSC 3,CSC 4,CSC 5,CSC 6,CSC 7
-122.340694,Greater duwamish,NonResidential,3.4330189939851112,1,0.0,CSC 2,2.105541006950566,20617,13.67235932843887,1.9423364970608448,0.5482643928877449,47.56540757,0.5703095532392818,Retail Store,0,17.34554126222618,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
-122.34326609999998,Northwest,NonResidential,3.5865698352893665,1,0.0,CSC 5,2.1015514108279394,21237,14.146362745941122,1.9397197684952538,0.5482643928877449,47.72569066,0.5703095532392818,Retail Store,0,6.844449937429845,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
-122.33934021,Downtown,NonResidential,1.691939133945844,1,0.0,CSC 7,2.106320594967795,21471,12.933427997419857,1.9428409629558918,0.5482643928877449,47.60940552,1.20556552331239,Other,0,24.74690160931959,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
-122.33903590000001,Downtown,NonResidential,0.15700374880966478,1,0.0,CSC 7,2.1069575002132788,21474,10.091086824325448,1.9432512421907113,0.5482643928877449,47.60705128,0.9511921592896965,Other,0,25.283420449478637,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
-122.2866398,Southeast,NonResidential,3.6301904577652566,1,0.0,CSC 2,2.102773962754602,21688,14.023781660654096,1.9405274467908749,0.5482643928877449,47.54941353,0.5703095532392818,Warehouse,0,17.516875802094365,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
-122.31738590000002,East,NonResidential,4.188896879163323,1,0.0,CSC 3,2.1097744283689273,21796,14.747503758253705,1.9450436290383493,0.5482643928877449,47.64171214,0.5703095532392818,K-12 School,0,24.61152174089426,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
-122.27030459999999,Southeast,NonResidential,0.49469624183610705,1,0.0,CSC 2,2.1009104860635732,22138,11.42951124680385,1.9392944507993528,0.5482643928877449,47.54179702,0.8115026719592557,Worship Facility,0,21.490307101669753,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
-122.36956059999999,Ballard,NonResidential,3.8480176754522337,1,0.0,CSC 6,2.10510616755022,22441,14.750655624509996,1.942054071558285,0.5482643928877449,47.66247704,0.8115026719592557,Office,0,12.392163908180255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
-122.3779648,Southwest,NonResidential,1.0885619528146082,1,0.0,CSC 1,2.101579043639749,22830,12.552845222465454,1.939738076964086,0.5482643928877449,47.5170917,0.5703095532392818,Worship Facility,0,14.037338833493497,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
-122.3168033,Downtown,NonResidential,2.605648267484129,1,2.340443871097394,CSC 3,2.100358045846649,23163,14.402685924950777,1.942736692012412,0.5482643928877449,47.59703102,1.0445242012870617,Medical Office,0,8.573595308340982,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
-122.35415400000001,Downtown,NonResidential,4.78757507264335,1,0.0,CSC 7,2.105611557121545,23848,15.154895684856399,1.942382249541302,0.5482643928877449,47.61522339,0.8115026719592557,Restaurant,0,25.016148733733147,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
-122.29982290000001,Central,NonResidential,0.3001045924503381,1,0.0,CSC 3,2.1017152823153182,24547,10.941889716805212,1.939828308515731,0.5482643928877449,47.60870162,0.8115026719592557,K-12 School,0,21.191304875114465,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
-122.3345773,Greater duwamish,NonResidential,0.11332868530700317,1,0.0,CSC 2,2.1028483631031873,24717,9.749811759932081,1.9405764414295357,0.5482643928877449,47.58787647,0.9511921592896965,Other,0,23.926797113036216,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
-122.33468500000001,Greater duwamish,NonResidential,2.1138429683971687,1,0.0,CSC 2,2.1004649697892646,24825,12.628011316331227,1.9389980685829387,0.5482643928877449,47.58293152,0.8115026719592557,Warehouse,0,23.926797113036216,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
-122.37575690000001,Magnolia / queen anne,NonResidential,2.8673305587494666,1,0.0,CSC 7,2.1012921370109785,24904,13.297727453630785,1.939547867200384,0.5482643928877449,47.63452966,0.8115026719592557,Mixed Use Property,0,21.341161603275598,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
